,Artists,Song,Rank,Week
4087,Migos Featuring Post Malone,Notice Me,88,2018-03-03
4088,Kodak Black Featuring Lil Wayne,Codeine Dreaming,89,2018-03-03
4089,Lauv,I Like Me Better,90,2018-03-03
4090,Taylor Swift Featuring Ed Sheeran & Future,End Game,91,2018-03-03
4091,Liam Payne & Rita Ora,For You (Fifty Shades Freed),92,2018-03-03
4092,Daniel Caesar Featuring Kali Uchis,Get You,93,2018-03-03
4093,Maluma X Nego do Borel,Corazon,94,2018-03-03
4094,Plies,Rock,95,2018-03-03
4095,Dua Lipa,IDGAF,96,2018-03-03
4096,YBN Nahmir,Rubbin Off The Paint,97,2018-03-03
4097,WALK THE MOON,One Foot,98,2018-03-03
4098,Keith Urban,Female,99,2018-03-03
4099,Becky G Featuring Bad Bunny,Mayores,100,2018-03-03
4100,Drake,God's Plan,1,2018-02-24
4101,Ed Sheeran,Perfect,2,2018-02-24
4102,Bruno Mars & Cardi B,Finesse,3,2018-02-24
4103,Camila Cabello Featuring Young Thug,Havana,4,2018-02-24
4104,Post Malone Featuring 21 Savage,Rockstar,5,2018-02-24
4105,BlocBoy JB Featuring Drake,Look Alive,6,2018-02-24
4106,Bebe Rexha & Florida Georgia Line,Meant To Be,7,2018-02-24
4107,Dua Lipa,New Rules,8,2018-02-24
4108,Kendrick Lamar & SZA,All The Stars,9,2018-02-24
4109,Migos,Stir Fry,10,2018-02-24
4110,The Weeknd & Kendrick Lamar,Pray For Me,11,2018-02-24
4111,NF,Let You Down,12,2018-02-24
4112,Kendrick Lamar Featuring Zacari,Love.,13,2018-02-24
4113,G-Eazy & Halsey,Him & I,14,2018-02-24
4114,Imagine Dragons,Thunder,15,2018-02-24
4115,Halsey,Bad At Love,16,2018-02-24
4116,"Zedd, Maren Morris & Grey",The Middle,17,2018-02-24
4117,"Migos, Nicki Minaj & Cardi B",MotorSport,18,2018-02-24
4118,Post Malone,I Fall Apart,19,2018-02-24
4119,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,20,2018-02-24
4120,Charlie Puth,How Long,21,2018-02-24
4121,Bazzi,Mine,22,2018-02-24
4122,Cardi B Featuring 21 Savage,Bartier Cardi,23,2018-02-24
4123,Ed Sheeran,Shape Of You,24,2018-02-24
4124,Cardi B,Bodak Yellow (Money Moves),25,2018-02-24
4125,Selena Gomez X Marshmello,Wolves,26,2018-02-24
4126,MAX Featuring gnash,Lights Down Low,27,2018-02-24
4127,6ix9ine,Gummo,28,2018-02-24
4128,Camila Cabello,Never Be The Same,29,2018-02-24
4129,Portugal. The Man,Feel It Still,30,2018-02-24
4130,Justin Timberlake Featuring Chris Stapleton,Say Something,31,2018-02-24
4131,Khalid,Young Dumb & Broke,32,2018-02-24
4132,Miguel Featuring Travis Scott,Sky Walker,33,2018-02-24
4133,A$AP Ferg Featuring Nicki Minaj,Plain Jane,34,2018-02-24
4134,Eminem Featuring Ed Sheeran,River,35,2018-02-24
4135,Thomas Rhett,Marry Me,36,2018-02-24
4136,YoungBoy Never Broke Again,Outside Today,37,2018-02-24
4137,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,38,2018-02-24
4138,Sam Smith,Too Good At Goodbyes,39,2018-02-24
4139,Demi Lovato,Sorry Not Sorry,40,2018-02-24
4140,Offset & Metro Boomin,Ric Flair Drip,41,2018-02-24
4141,Lil Pump,Gucci Gang,42,2018-02-24
4142,Maroon 5,Wait,43,2018-02-24
4143,Gucci Mane Featuring Migos,I Get The Bag,44,2018-02-24
4144,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,45,2018-02-24
4145,N*E*R*D & Rihanna,Lemon,46,2018-02-24
4146,Jason Aldean,You Make It Easy,47,2018-02-24
4147,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,48,2018-02-24
4148,"ScHoolboy Q, 2 Chainz & Saudi",X,49,2018-02-24
4149,Kodak Black Featuring XXXTENTACION,Roll In Peace,50,2018-02-24
4150,Scotty McCreery,Five More Minutes,51,2018-02-24
4151,Migos Featuring Drake,Walk It Talk It,52,2018-02-24
4152,Rich The Kid Featuring Kendrick Lamar,New Freezer,53,2018-02-24
4153,Macklemore Featuring Kesha,Good Old Days,54,2018-02-24
4154,Old Dominion,Written In The Sand,55,2018-02-24
4155,Ozuna & Romeo Santos,El Farsante,56,2018-02-24
4156,Kane Brown,Heaven,57,2018-02-24
4157,Migos,Narcos,58,2018-02-24
4158,Chris Stapleton,Broken Halos,59,2018-02-24
4159,Famous Dex Featuring A$AP Rocky,Pick It Up,60,2018-02-24
4160,Daddy Yankee,Dura,61,2018-02-24
4161,Rich The Kid,Plug Walk,62,2018-02-24
4162,Khalid & Swae Lee,The Ways,63,2018-02-24
4163,Russell Dickerson,Yours,64,2018-02-24
4164,Taylor Swift Featuring Ed Sheeran & Future,End Game,65,2018-02-24
4165,Walker Hayes,You Broke Up With Me,66,2018-02-24
4166,SOB X RBE,Paramedic!,67,2018-02-24
4167,Kelsea Ballerini,Legends,68,2018-02-24
4168,Lil Xan,Betrayed,69,2018-02-24
4169,Lil Skies Featuring Landon Cube,Nowadays,70,2018-02-24
4170,Kendrick Lamar & Travis Scott,Big Shot,71,2018-02-24
4171,Marshmello & Anne-Marie,Friends,72,2018-02-24
4172,Devin Dawson,All On Me,73,2018-02-24
4173,Migos Featuring Post Malone,Notice Me,74,2018-02-24
4174,Imagine Dragons,Whatever It Takes,75,2018-02-24
4175,Liam Payne & Rita Ora,For You (Fifty Shades Freed),76,2018-02-24
4176,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",KEKE,77,2018-02-24
4177,YoungBoy Never Broke Again,No Smoke,78,2018-02-24
4178,Luis Fonsi & Demi Lovato,Echame La Culpa,79,2018-02-24
4179,Demi Lovato,Tell Me You Love Me,80,2018-02-24
4180,Lil Skies Featuring Landon Cube,Red Roses,81,2018-02-24
4181,Luke Bryan,Most People Are Good,82,2018-02-24
4182,Keala Settle & The Greatest Showman Ensemble,This Is Me,83,2018-02-24
4183,Post Malone,Candy Paint,84,2018-02-24
4184,Derez De'Shon,Hardaway,85,2018-02-24
4185,Ozuna x Cardi B,La Modelo,86,2018-02-24
4186,WALK THE MOON,One Foot,87,2018-02-24
4187,P!nk,Beautiful Trauma,88,2018-02-24
4188,Jordan Davis,Singles You Up,89,2018-02-24
4189,Justin Timberlake,Filthy,90,2018-02-24
4190,Kendrick Lamar,Black Panther,91,2018-02-24
4191,Jacquees X Dej Loaf,At The Club,92,2018-02-24
4192,Kodak Black Featuring Lil Wayne,Codeine Dreaming,93,2018-02-24
4193,Brett Eldredge,The Long Way,94,2018-02-24
4194,Plies,Rock,95,2018-02-24
4195,Lauv,I Like Me Better,96,2018-02-24
4196,Tank,When We,97,2018-02-24
4197,Natti Natasha x Ozuna,Criminal,98,2018-02-24
4198,Dua Lipa,IDGAF,99,2018-02-24
4199,Zac Efron & Zendaya,Rewrite The Stars,100,2018-02-24
4200,Drake,God's Plan,1,2018-02-17
4201,Ed Sheeran,Perfect,2,2018-02-17
4202,Bruno Mars & Cardi B,Finesse,3,2018-02-17
4203,Camila Cabello Featuring Young Thug,Havana,4,2018-02-17
4204,Post Malone Featuring 21 Savage,Rockstar,5,2018-02-17
4205,Dua Lipa,New Rules,6,2018-02-17
4206,The Weeknd & Kendrick Lamar,Pray For Me,7,2018-02-17
4207,Migos,Stir Fry,8,2018-02-17
4208,Bebe Rexha & Florida Georgia Line,Meant To Be,9,2018-02-17
4209,Halsey,Bad At Love,10,2018-02-17
4210,Imagine Dragons,Thunder,11,2018-02-17
4211,NF,Let You Down,12,2018-02-17
4212,Kendrick Lamar Featuring Zacari,Love.,13,2018-02-17
4213,"Migos, Nicki Minaj & Cardi B",MotorSport,14,2018-02-17
4214,G-Eazy & Halsey,Him & I,15,2018-02-17
4215,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,16,2018-02-17
4216,Justin Timberlake Featuring Chris Stapleton,Say Something,17,2018-02-17
4217,Post Malone,I Fall Apart,18,2018-02-17
4218,Cardi B,Bodak Yellow (Money Moves),19,2018-02-17
4219,Cardi B Featuring 21 Savage,Bartier Cardi,20,2018-02-17
4220,Charlie Puth,How Long,21,2018-02-17
4221,"Zedd, Maren Morris & Grey",The Middle,22,2018-02-17
4222,Ed Sheeran,Shape Of You,23,2018-02-17
4223,6ix9ine,Gummo,24,2018-02-17
4224,Selena Gomez X Marshmello,Wolves,25,2018-02-17
4225,Portugal. The Man,Feel It Still,26,2018-02-17
4226,Camila Cabello,Never Be The Same,27,2018-02-17
4227,Sam Smith,Too Good At Goodbyes,28,2018-02-17
4228,Bazzi,Mine,29,2018-02-17
4229,MAX Featuring gnash,Lights Down Low,30,2018-02-17
4230,Kendrick Lamar & SZA,All The Stars,31,2018-02-17
4231,Miguel Featuring Travis Scott,Sky Walker,32,2018-02-17
4232,A$AP Ferg Featuring Nicki Minaj,Plain Jane,33,2018-02-17
4233,Justin Timberlake,Filthy,34,2018-02-17
4234,Khalid,Young Dumb & Broke,35,2018-02-17
4235,Lil Pump,Gucci Gang,36,2018-02-17
4236,Thomas Rhett,Marry Me,37,2018-02-17
4237,Demi Lovato,Sorry Not Sorry,38,2018-02-17
4238,YoungBoy Never Broke Again,Outside Today,39,2018-02-17
4239,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,40,2018-02-17
4240,Gucci Mane Featuring Migos,I Get The Bag,41,2018-02-17
4241,Eminem Featuring Ed Sheeran,River,42,2018-02-17
4242,Offset & Metro Boomin,Ric Flair Drip,43,2018-02-17
4243,N*E*R*D & Rihanna,Lemon,44,2018-02-17
4244,Taylor Swift Featuring Ed Sheeran & Future,End Game,45,2018-02-17
4245,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,46,2018-02-17
4246,Kodak Black Featuring XXXTENTACION,Roll In Peace,47,2018-02-17
4247,Migos Featuring Drake,Walk It Talk It,48,2018-02-17
4248,Ozuna & Romeo Santos,El Farsante,49,2018-02-17
4249,Migos,Narcos,50,2018-02-17
4250,Old Dominion,Written In The Sand,51,2018-02-17
4251,Jason Aldean,You Make It Easy,52,2018-02-17
4252,Macklemore Featuring Kesha,Good Old Days,53,2018-02-17
4253,Scotty McCreery,Five More Minutes,54,2018-02-17
4254,Maroon 5,Wait,55,2018-02-17
4255,Carrie Underwood Featuring Ludacris,The Champion,56,2018-02-17
4256,Famous Dex Featuring A$AP Rocky,Pick It Up,57,2018-02-17
4257,Russell Dickerson,Yours,58,2018-02-17
4258,Chris Stapleton,Broken Halos,59,2018-02-17
4259,Rich The Kid Featuring Kendrick Lamar,New Freezer,60,2018-02-17
4260,Kane Brown,Heaven,61,2018-02-17
4261,Walker Hayes,You Broke Up With Me,62,2018-02-17
4262,Keala Settle & The Greatest Showman Ensemble,This Is Me,63,2018-02-17
4263,Lil Xan,Betrayed,64,2018-02-17
4264,WALK THE MOON,One Foot,65,2018-02-17
4265,Brett Young,Like I Loved You,66,2018-02-17
4266,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",KEKE,67,2018-02-17
4267,Luis Fonsi & Demi Lovato,Echame La Culpa,68,2018-02-17
4268,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,69,2018-02-17
4269,Lil Skies Featuring Landon Cube,Nowadays,70,2018-02-17
4270,Chris Young,Losing Sleep,71,2018-02-17
4271,Migos Featuring Post Malone,Notice Me,72,2018-02-17
4272,Justin Timberlake,Man Of The Woods,73,2018-02-17
4273,Devin Dawson,All On Me,74,2018-02-17
4274,Kelsea Ballerini,Legends,75,2018-02-17
4275,YoungBoy Never Broke Again,No Smoke,76,2018-02-17
4276,Lil Skies Featuring Landon Cube,Red Roses,77,2018-02-17
4277,P!nk,Beautiful Trauma,78,2018-02-17
4278,Demi Lovato,Tell Me You Love Me,79,2018-02-17
4279,Post Malone,Candy Paint,80,2018-02-17
4280,Daddy Yankee,Dura,81,2018-02-17
4281,Ozuna x Cardi B,La Modelo,82,2018-02-17
4282,Drake,Diplomatic Immunity,83,2018-02-17
4283,Luke Bryan,Most People Are Good,84,2018-02-17
4284,Zac Efron & Zendaya,Rewrite The Stars,85,2018-02-17
4285,Kodak Black Featuring Lil Wayne,Codeine Dreaming,86,2018-02-17
4286,Imagine Dragons,Whatever It Takes,87,2018-02-17
4287,Dua Lipa,IDGAF,88,2018-02-17
4288,Migos Featuring 21 Savage,BBO (Bad Bitches Only),89,2018-02-17
4289,Derez De'Shon,Hardaway,90,2018-02-17
4290,Becky G Featuring Bad Bunny,Mayores,91,2018-02-17
4291,Jacquees X Dej Loaf,At The Club,92,2018-02-17
4292,Brett Eldredge,The Long Way,93,2018-02-17
4293,Jordan Davis,Singles You Up,94,2018-02-17
4294,Natti Natasha x Ozuna,Criminal,95,2018-02-17
4295,Maluma X Nego do Borel,Corazon,96,2018-02-17
4296,The Chainsmokers,Sick Boy,97,2018-02-17
4297,Easton Corbin,A Girl Like You,98,2018-02-17
4298,Plies,Rock,99,2018-02-17
4299,Justin Timberlake,Supplies,100,2018-02-17
4300,Drake,God's Plan,1,2018-02-10
4301,Ed Sheeran,Perfect,2,2018-02-10
4302,Bruno Mars & Cardi B,Finesse,3,2018-02-10
4303,Camila Cabello Featuring Young Thug,Havana,4,2018-02-10
4304,Post Malone Featuring 21 Savage,Rockstar,5,2018-02-10
4305,Halsey,Bad At Love,6,2018-02-10
4306,Dua Lipa,New Rules,7,2018-02-10
4307,"Migos, Nicki Minaj & Cardi B",MotorSport,8,2018-02-10
4308,Justin Timberlake Featuring Chris Stapleton,Say Something,9,2018-02-10
4309,Imagine Dragons,Thunder,10,2018-02-10
4310,Bebe Rexha & Florida Georgia Line,Meant To Be,11,2018-02-10
4311,Migos,Stir Fry,12,2018-02-10
4312,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,13,2018-02-10
4313,NF,Let You Down,14,2018-02-10
4314,Kendrick Lamar Featuring Zacari,Love.,15,2018-02-10
4315,G-Eazy & Halsey,Him & I,16,2018-02-10
4316,Post Malone,I Fall Apart,17,2018-02-10
4317,Migos Featuring Drake,Walk It Talk It,18,2018-02-10
4318,Cardi B Featuring 21 Savage,Bartier Cardi,19,2018-02-10
4319,Sam Smith,Too Good At Goodbyes,20,2018-02-10
4320,Charlie Puth,How Long,21,2018-02-10
4321,Ed Sheeran,Shape Of You,22,2018-02-10
4322,"Zedd, Maren Morris & Grey",The Middle,23,2018-02-10
4323,6ix9ine,Gummo,24,2018-02-10
4324,Cardi B,Bodak Yellow (Money Moves),25,2018-02-10
4325,Lil Pump,Gucci Gang,26,2018-02-10
4326,Portugal. The Man,Feel It Still,27,2018-02-10
4327,Jason Aldean,You Make It Easy,28,2018-02-10
4328,Imagine Dragons,Believer,29,2018-02-10
4329,Selena Gomez X Marshmello,Wolves,30,2018-02-10
4330,Miguel Featuring Travis Scott,Sky Walker,31,2018-02-10
4331,Camila Cabello,Never Be The Same,32,2018-02-10
4332,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,33,2018-02-10
4333,A$AP Ferg Featuring Nicki Minaj,Plain Jane,34,2018-02-10
4334,Khalid,Young Dumb & Broke,35,2018-02-10
4335,Migos,Narcos,36,2018-02-10
4336,Gucci Mane Featuring Migos,I Get The Bag,37,2018-02-10
4337,MAX Featuring gnash,Lights Down Low,38,2018-02-10
4338,Thomas Rhett,Marry Me,39,2018-02-10
4339,Kodak Black Featuring XXXTENTACION,Roll In Peace,40,2018-02-10
4340,Bazzi,Mine,41,2018-02-10
4341,Demi Lovato,Sorry Not Sorry,42,2018-02-10
4342,Taylor Swift Featuring Ed Sheeran & Future,End Game,43,2018-02-10
4343,Eminem Featuring Ed Sheeran,River,44,2018-02-10
4344,YoungBoy Never Broke Again,Outside Today,45,2018-02-10
4345,Offset & Metro Boomin,Ric Flair Drip,46,2018-02-10
4346,N*E*R*D & Rihanna,Lemon,47,2018-02-10
4347,Migos Featuring 21 Savage,BBO (Bad Bitches Only),48,2018-02-10
4348,Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,49,2018-02-10
4349,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,50,2018-02-10
4350,Justin Timberlake,Filthy,51,2018-02-10
4351,Migos Featuring Post Malone,Notice Me,52,2018-02-10
4352,Migos,Supastars,53,2018-02-10
4353,Kendrick Lamar & SZA,All The Stars,54,2018-02-10
4354,Drake,Diplomatic Immunity,55,2018-02-10
4355,Maroon 5,Wait,56,2018-02-10
4356,Russell Dickerson,Yours,57,2018-02-10
4357,Old Dominion,Written In The Sand,58,2018-02-10
4358,Macklemore Featuring Kesha,Good Old Days,59,2018-02-10
4359,Chris Young,Losing Sleep,60,2018-02-10
4360,Scotty McCreery,Five More Minutes,61,2018-02-10
4361,Chris Stapleton,Broken Halos,62,2018-02-10
4362,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",KEKE,63,2018-02-10
4363,"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",White Sand,64,2018-02-10
4364,Lil Xan,Betrayed,65,2018-02-10
4365,Famous Dex Featuring A$AP Rocky,Pick It Up,66,2018-02-10
4366,Kane Brown,Heaven,67,2018-02-10
4367,Lil Skies Featuring Landon Cube,Nowadays,68,2018-02-10
4368,Walker Hayes,You Broke Up With Me,69,2018-02-10
4369,Brett Young,Like I Loved You,70,2018-02-10
4370,Keala Settle & The Greatest Showman Ensemble,This Is Me,71,2018-02-10
4371,Luis Fonsi & Demi Lovato,Echame La Culpa,72,2018-02-10
4372,Migos,Gang Gang,73,2018-02-10
4373,WALK THE MOON,One Foot,74,2018-02-10
4374,Rich The Kid Featuring Kendrick Lamar,New Freezer,75,2018-02-10
4375,Devin Dawson,All On Me,76,2018-02-10
4376,YoungBoy Never Broke Again,No Smoke,77,2018-02-10
4377,Demi Lovato,Tell Me You Love Me,78,2018-02-10
4378,Ozuna x Cardi B,La Modelo,79,2018-02-10
4379,Lil Skies Featuring Landon Cube,Red Roses,80,2018-02-10
4380,Zac Efron & Zendaya,Rewrite The Stars,81,2018-02-10
4381,Post Malone,Candy Paint,82,2018-02-10
4382,Migos,Higher We Go (Intro),83,2018-02-10
4383,Kelsea Ballerini,Legends,84,2018-02-10
4384,Migos,Auto Pilot,85,2018-02-10
4385,Kodak Black Featuring Lil Wayne,Codeine Dreaming,86,2018-02-10
4386,Migos,Emoji A Chain,87,2018-02-10
4387,P!nk,Beautiful Trauma,88,2018-02-10
4388,Eric Church,Round Here Buzz,89,2018-02-10
4389,The Chainsmokers,Sick Boy,90,2018-02-10
4390,YBN Nahmir,Rubbin Off The Paint,91,2018-02-10
4391,Ozuna & Romeo Santos,El Farsante,92,2018-02-10
4392,Dua Lipa,IDGAF,93,2018-02-10
4393,Luke Bryan,Most People Are Good,94,2018-02-10
4394,Becky G Featuring Bad Bunny,Mayores,95,2018-02-10
4395,Migos Featuring Gucci Mane,CC,96,2018-02-10
4396,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",Best Friend,97,2018-02-10
4397,BTS Featuring Desiigner,MIC Drop,98,2018-02-10
4398,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,99,2018-02-10
4399,Maluma X Nego do Borel,Corazon,100,2018-02-10
4400,Drake,God's Plan,1,2018-02-03
4401,Ed Sheeran,Perfect,2,2018-02-03
4402,Camila Cabello Featuring Young Thug,Havana,3,2018-02-03
4403,Post Malone Featuring 21 Savage,Rockstar,4,2018-02-03
4404,Bruno Mars & Cardi B,Finesse,5,2018-02-03
4405,Halsey,Bad At Love,6,2018-02-03
4406,Drake,Diplomatic Immunity,7,2018-02-03
4407,Dua Lipa,New Rules,8,2018-02-03
4408,Imagine Dragons,Thunder,9,2018-02-03
4409,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,10,2018-02-03
4410,"Migos, Nicki Minaj & Cardi B",MotorSport,11,2018-02-03
4411,Bebe Rexha & Florida Georgia Line,Meant To Be,12,2018-02-03
4412,Sam Smith,Too Good At Goodbyes,13,2018-02-03
4413,NF,Let You Down,14,2018-02-03
4414,Kendrick Lamar Featuring Zacari,Love.,15,2018-02-03
4415,G-Eazy & Halsey,Him & I,16,2018-02-03
4416,Lil Pump,Gucci Gang,17,2018-02-03
4417,6ix9ine,Gummo,18,2018-02-03
4418,Post Malone,I Fall Apart,19,2018-02-03
4419,Cardi B Featuring 21 Savage,Bartier Cardi,20,2018-02-03
4420,Charlie Puth,How Long,21,2018-02-03
4421,Ed Sheeran,Shape Of You,22,2018-02-03
4422,Cardi B,Bodak Yellow (Money Moves),23,2018-02-03
4423,Gucci Mane Featuring Migos,I Get The Bag,24,2018-02-03
4424,Portugal. The Man,Feel It Still,25,2018-02-03
4425,Selena Gomez X Marshmello,Wolves,26,2018-02-03
4426,A$AP Ferg Featuring Nicki Minaj,Plain Jane,27,2018-02-03
4427,Imagine Dragons,Believer,28,2018-02-03
4428,Miguel Featuring Travis Scott,Sky Walker,29,2018-02-03
4429,Taylor Swift Featuring Ed Sheeran & Future,End Game,30,2018-02-03
4430,Kodak Black Featuring XXXTENTACION,Roll In Peace,31,2018-02-03
4431,Demi Lovato,Sorry Not Sorry,32,2018-02-03
4432,Justin Timberlake,Filthy,33,2018-02-03
4433,Eminem Featuring Ed Sheeran,River,34,2018-02-03
4434,Khalid,Young Dumb & Broke,35,2018-02-03
4435,Thomas Rhett,Marry Me,36,2018-02-03
4436,Camila Cabello,Never Be The Same,37,2018-02-03
4437,MAX Featuring gnash,Lights Down Low,38,2018-02-03
4438,Offset & Metro Boomin,Ric Flair Drip,39,2018-02-03
4439,N*E*R*D & Rihanna,Lemon,40,2018-02-03
4440,Maroon 5 Featuring SZA,What Lovers Do,41,2018-02-03
4441,Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,42,2018-02-03
4442,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",KEKE,43,2018-02-03
4443,J Balvin & Willy William Featuring Beyonce,Mi Gente,44,2018-02-03
4444,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,45,2018-02-03
4445,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,46,2018-02-03
4446,21 Savage,Bank Account,47,2018-02-03
4447,Charlie Puth,Attention,48,2018-02-03
4448,Russell Dickerson,Yours,49,2018-02-03
4449,French Montana Featuring Swae Lee,Unforgettable,50,2018-02-03
4450,YoungBoy Never Broke Again,Outside Today,51,2018-02-03
4451,Migos,Stir Fry,52,2018-02-03
4452,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,53,2018-02-03
4453,Kendrick Lamar & SZA,All The Stars,54,2018-02-03
4454,Macklemore Featuring Kesha,Good Old Days,55,2018-02-03
4455,Bazzi,Mine,56,2018-02-03
4456,Lil Skies Featuring Landon Cube,Nowadays,57,2018-02-03
4457,Famous Dex Featuring A$AP Rocky,Pick It Up,58,2018-02-03
4458,LANCO,Greatest Love Story,59,2018-02-03
4459,Old Dominion,Written In The Sand,60,2018-02-03
4460,YoungBoy Never Broke Again,No Smoke,61,2018-02-03
4461,Chris Young,Losing Sleep,62,2018-02-03
4462,Brett Young,Like I Loved You,63,2018-02-03
4463,Scotty McCreery,Five More Minutes,64,2018-02-03
4464,The Chainsmokers,Sick Boy,65,2018-02-03
4465,Keala Settle & The Greatest Showman Ensemble,This Is Me,66,2018-02-03
4466,Kane Brown,Heaven,67,2018-02-03
4467,Luis Fonsi & Demi Lovato,Echame La Culpa,68,2018-02-03
4468,YBN Nahmir,Rubbin Off The Paint,69,2018-02-03
4469,Walker Hayes,You Broke Up With Me,70,2018-02-03
4470,Justin Timberlake,Supplies,71,2018-02-03
4471,Kodak Black Featuring Lil Wayne,Codeine Dreaming,72,2018-02-03
4472,Lil Xan,Betrayed,73,2018-02-03
4473,Lil Skies Featuring Landon Cube,Red Roses,74,2018-02-03
4474,WALK THE MOON,One Foot,75,2018-02-03
4475,Ozuna x Cardi B,La Modelo,76,2018-02-03
4476,Zac Efron & Zendaya,Rewrite The Stars,77,2018-02-03
4477,Post Malone,Candy Paint,78,2018-02-03
4478,Demi Lovato,Tell Me You Love Me,79,2018-02-03
4479,Eric Church,Round Here Buzz,80,2018-02-03
4480,Devin Dawson,All On Me,81,2018-02-03
4481,NF,No Name,82,2018-02-03
4482,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,83,2018-02-03
4483,BTS Featuring Desiigner,MIC Drop,84,2018-02-03
4484,Chris Stapleton,Broken Halos,85,2018-02-03
4485,6ix9ine,Kooda,86,2018-02-03
4486,Kelsea Ballerini,Legends,87,2018-02-03
4487,Maroon 5,Wait,88,2018-02-03
4488,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",Best Friend,89,2018-02-03
4489,Quavo & Lil Yachty,Ice Tray,90,2018-02-03
4490,P!nk,Beautiful Trauma,91,2018-02-03
4491,Dua Lipa,IDGAF,92,2018-02-03
4492,Maluma X Nego do Borel,Corazon,93,2018-02-03
4493,Becky G Featuring Bad Bunny,Mayores,94,2018-02-03
4494,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",The Greatest Show,95,2018-02-03
4495,Loren Allred,Never Enough,96,2018-02-03
4496,Lil Baby,My Dawg,97,2018-02-03
4497,Blake Shelton,I'll Name The Dogs,98,2018-02-03
4498,Plies,Rock,99,2018-02-03
4499,Keith Urban,Female,100,2018-02-03
4500,Ed Sheeran,Perfect,1,2018-01-27
4501,Ed Sheeran,Perfect,2,2018-01-27
4502,Post Malone Featuring 21 Savage,Rockstar,3,2018-01-27
4503,Bruno Mars & Cardi B,Finesse,4,2018-01-27
4504,Halsey,Bad At Love,5,2018-01-27
4505,Imagine Dragons,Thunder,6,2018-01-27
4506,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,7,2018-01-27
4507,Dua Lipa,New Rules,8,2018-01-27
4508,Sam Smith,Too Good At Goodbyes,9,2018-01-27
4509,"Migos, Nicki Minaj & Cardi B",MotorSport,10,2018-01-27
4510,Lil Pump,Gucci Gang,11,2018-01-27
4511,Kendrick Lamar Featuring Zacari,Love.,12,2018-01-27
4512,6ix9ine,Gummo,13,2018-01-27
4513,NF,Let You Down,14,2018-01-27
4514,G-Eazy & Halsey,Him & I,15,2018-01-27
4515,Cardi B Featuring 21 Savage,Bartier Cardi,16,2018-01-27
4516,Bebe Rexha & Florida Georgia Line,Meant To Be,17,2018-01-27
4517,Taylor Swift Featuring Ed Sheeran & Future,End Game,18,2018-01-27
4518,Cardi B,Bodak Yellow (Money Moves),19,2018-01-27
4519,Post Malone,I Fall Apart,20,2018-01-27
4520,Ed Sheeran,Shape Of You,21,2018-01-27
4521,Charlie Puth,How Long,22,2018-01-27
4522,Portugal. The Man,Feel It Still,23,2018-01-27
4523,Gucci Mane Featuring Migos,I Get The Bag,24,2018-01-27
4524,Selena Gomez X Marshmello,Wolves,25,2018-01-27
4525,Imagine Dragons,Believer,26,2018-01-27
4526,A$AP Ferg Featuring Nicki Minaj,Plain Jane,27,2018-01-27
4527,Demi Lovato,Sorry Not Sorry,28,2018-01-27
4528,Justin Timberlake,Filthy,29,2018-01-27
4529,Camila Cabello,Never Be The Same,30,2018-01-27
4530,Maroon 5 Featuring SZA,What Lovers Do,31,2018-01-27
4531,Khalid,Young Dumb & Broke,32,2018-01-27
4532,Miguel Featuring Travis Scott,Sky Walker,33,2018-01-27
4533,Eminem Featuring Ed Sheeran,River,34,2018-01-27
4534,Thomas Rhett,Marry Me,35,2018-01-27
4535,Kodak Black Featuring XXXTENTACION,Roll In Peace,36,2018-01-27
4536,Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,37,2018-01-27
4537,21 Savage,Bank Account,38,2018-01-27
